main,components,dt
{'aqi': 2},"{'co': 413.9, 'no': 10.39, 'no2': 37.01, 'o3': 91.55, 'so2': 9.06, 'pm2_5': 14.42, 'pm10': 22.66, 'nh3': 4.5}",1617224400
{'aqi': 4},"{'co': 527.38, 'no': 14.75, 'no2': 56.89, 'o3': 94.41, 'so2': 11.44, 'pm2_5': 25.88, 'pm10': 36.08, 'nh3': 5.26}",1617228000
{'aqi': 5},"{'co': 761.03, 'no': 22.8, 'no2': 90.48, 'o3': 87.98, 'so2': 14.66, 'pm2_5': 51.24, 'pm10': 63.77, 'nh3': 6.46}",1617231600
{'aqi': 5},"{'co': 947.95, 'no': 22.8, 'no2': 115.16, 'o3': 90.84, 'so2': 16.21, 'pm2_5': 75.58, 'pm10': 88.22, 'nh3': 7.22}",1617235200
{'aqi': 5},"{'co': 974.66, 'no': 15.2, 'no2': 116.53, 'o3': 90.12, 'so2': 13.47, 'pm2_5': 81.87, 'pm10': 92.99, 'nh3': 6.65}",1617238800
{'aqi': 5},"{'co': 934.6, 'no': 5.87, 'no2': 112.41, 'o3': 72.96, 'so2': 9.78, 'pm2_5': 80.13, 'pm10': 90.14, 'nh3': 6.4}",1617242400
{'aqi': 5},"{'co': 881.2, 'no': 0.17, 'no2': 95.96, 'o3': 57.94, 'so2': 7.03, 'pm2_5': 74.12, 'pm10': 83.42, 'nh3': 6.71}",1617246000
{'aqi': 5},"{'co': 907.9, 'no': 0.01, 'no2': 95.96, 'o3': 43.99, 'so2': 6.38, 'pm2_5': 71.83, 'pm10': 81.68, 'nh3': 8.04}",1617249600
{'aqi': 5},"{'co': 974.66, 'no': 0.11, 'no2': 109.67, 'o3': 26.82, 'so2': 6.86, 'pm2_5': 73.51, 'pm10': 84.59, 'nh3': 9.88}",1617253200
{'aqi': 5},"{'co': 1014.71, 'no': 0.43, 'no2': 123.38, 'o3': 16.81, 'so2': 7.33, 'pm2_5': 77.06, 'pm10': 89.57, 'nh3': 10.77}",1617256800
{'aqi': 5},"{'co': 1028.06, 'no': 0.79, 'no2': 137.09, 'o3': 11.8, 'so2': 7.87, 'pm2_5': 79.32, 'pm10': 92.82, 'nh3': 11.02}",1617260400
{'aqi': 5},"{'co': 1041.41, 'no': 0.84, 'no2': 148.06, 'o3': 9.12, 'so2': 8.82, 'pm2_5': 82.25, 'pm10': 95.73, 'nh3': 10.77}",1617264000
{'aqi': 5},"{'co': 1014.71, 'no': 1.02, 'no2': 156.28, 'o3': 7.33, 'so2': 9.89, 'pm2_5': 85.42, 'pm10': 98.16, 'nh3': 9.63}",1617267600
{'aqi': 5},"{'co': 921.25, 'no': 0.29, 'no2': 142.57, 'o3': 12.88, 'so2': 10.25, 'pm2_5': 83, 'pm10': 93.91, 'nh3': 7.73}",1617271200
{'aqi': 5},"{'co': 921.25, 'no': 0.94, 'no2': 146.69, 'o3': 8.67, 'so2': 10.97, 'pm2_5': 82.72, 'pm10': 93.3, 'nh3': 6.84}",1617274800
{'aqi': 5},"{'co': 1081.47, 'no': 5.48, 'no2': 175.48, 'o3': 1.19, 'so2': 10.37, 'pm2_5': 87.29, 'pm10': 99.15, 'nh3': 6.33}",1617278400
{'aqi': 5},"{'co': 1174.93, 'no': 7.38, 'no2': 174.11, 'o3': 0.46, 'so2': 8.11, 'pm2_5': 90.9, 'pm10': 104.14, 'nh3': 4.94}",1617282000
{'aqi': 5},"{'co': 1081.47, 'no': 8.27, 'no2': 146.69, 'o3': 0.28, 'so2': 7.75, 'pm2_5': 90.72, 'pm10': 104.33, 'nh3': 4.37}",1617285600
{'aqi': 5},"{'co': 1054.76, 'no': 22.35, 'no2': 120.64, 'o3': 3.93, 'so2': 7.99, 'pm2_5': 92.87, 'pm10': 108.03, 'nh3': 5}",1617289200
{'aqi': 5},"{'co': 1121.52, 'no': 53.2, 'no2': 100.08, 'o3': 14.48, 'so2': 8.7, 'pm2_5': 98.53, 'pm10': 116.27, 'nh3': 6.46}",1617292800
{'aqi': 5},"{'co': 1201.63, 'no': 74.21, 'no2': 97.33, 'o3': 21.28, 'so2': 10.61, 'pm2_5': 100.51, 'pm10': 120.35, 'nh3': 7.92}",1617296400
{'aqi': 5},"{'co': 1174.93, 'no': 67.06, 'no2': 106.93, 'o3': 34.69, 'so2': 14.31, 'pm2_5': 97.45, 'pm10': 117.43, 'nh3': 8.11}",1617300000
{'aqi': 5},"{'co': 1108.17, 'no': 49.17, 'no2': 117.9, 'o3': 59.37, 'so2': 18.6, 'pm2_5': 99.74, 'pm10': 118.84, 'nh3': 7.41}",1617303600
{'aqi': 5},"{'co': 1214.98, 'no': 42.92, 'no2': 139.83, 'o3': 82.97, 'so2': 21.22, 'pm2_5': 116.33, 'pm10': 135.4, 'nh3': 7.16}",1617307200
